PROTOCOLO,PRODUCTO,LINEA,ACTIVO,ACCION
Armonizar,Ambar,Miguett,Vetiveria zizanioides,"Antioxidante, hidratante y calmante"
Armonizar,Ambar,Miguett,Santalum album,Antiinflamatorio y calmante
Armonizar,Ambar,Miguett,Rosmarinus officinalis,"Antioxidante, antimicrobiano, tónico circulatorio"
Shampoo facial,Ameyal,Natural secret,Lauriléter sulfato de sodio,"Emulsificante, espumante, humectante"
Shampoo facial,Ameyal,Natural secret,Cocoato de glicerilo,"Tensioactivo suave, hidratante"
Shampoo facial,Ameyal,Natural secret,Extracto de nopal,"Emulsificante, regenerador, antioxidante"
Peeling enzimatico,Yaretzi,Natural secret,Ácido esteárico,"Estabilizador, emoliente, estructurante"
Peeling enzimatico,Yaretzi,Natural secret,Ácido acrílico,Filmógeno
Peeling enzimatico,Yaretzi,Natural secret,Palmitato de retinilo,Antioxidante
Solución tonificante facial,Atzin,Natural secret,Hamamelis virginiana,"Astringente, calmante, antiinflamatorias"
Solución tonificante facial,Atzin,Natural secret,Saponaria officinalis,"Seborreguladora, antiinflamatoria"
Solución tonificante facial,Atzin,Natural secret,Opuntia ficus-indica,"Hidratante, antioxidante"
Aceite facial desincrustante,Amalesh,Miguett,Aceite de tomillo,"Antiséptica, calmante"
Aceite facial desincrustante,Amalesh,Miguett,Melissa officinalis,"Calmante, estimulante"
Aceite facial desincrustante,Amalesh,Miguett,Dimeticona,"Hidratante, suavizante"
Solución tonificante facial,Atzin,Natural secret,Metilparabeno,Antimicrobiano
Solución tonificante facial,Atzin,Natural secret,Sorbitol,"Humectante, exfoliante"
Locionar,Zhunkah,Natural secret,Propilenglicol,"Humectante, disolvente"
Locionar,Zhunkah,Natural secret,Imidazolidinil urea,Antimicrobiana
Locionar,Zhunkah,Natural secret,Aceite de ricino,"Antioxidante, hidratante, antiinflamatorio"
Hidratante,H.S.C Fase 1 / Fase 2,Marant,Ácido ferúlico,"Despigmentante, antioxidante"
Hidratante,H.S.C Fase 1 / Fase 2,Marant,Metilisotiazolinona,Antibacterianas
Mascarilla,Skinfusion,Miguett,Triptófano,"Hidratante, antioxidante"
Mascarilla,Skinfusion,Miguett,Niacinamida,"Antiinflamatoria, antioxidante"
Mascarilla,Skinfusion,Miguett,L-arginina,"Hidratante, regula el ph"
